Color	PCH	ID	c1	Subclade	G_atrium_type	G_penis_types	G_epiphallus_type	G_penial_papilla_type	G_distal_vagina_type	G_proximal_vagina_type	S_neck	S_peristome_position	 S_lam_superior_vs_ spiralis 	S_lam_sub_ bending 	S_lunella_position 	S_plica_basalis	
#FF118BFA	8	Montenegrina helvola pageti Mpg-471	Montenegrina helvola pageti NHMW110430MN0077	I	3,0	3,0	1,0	6,0	3,0	3,0	1,0	1,0	1,0	1,0	2,0	1,0	
#FF118BFA	8	Montenegrina helvola pageti Mpg-471-01	Montenegrina helvola pageti NHMW110430MN0077	I	3,0	3,0	1,0	6,0	3,0	3,0	1,0	1,0	1,0	1,0	2,0	1,0	
#FF118BFA	5	Montenegrina nana Mna-439-01	Montenegrina nana HNHM 98973 	I	2,0	7,0	1,0	3,0	3,0	2,0	1,0	3,0	2,0	2,0	3,0	1,0	
#FF118BFA	5	Montenegrina nana Mna-439	Montenegrina nana HNHM 98973 	I	2,0	7,0	1,0	3,0	3,0	2,0	1,0	3,0	2,0	2,0	3,0	1,0	
#FF118BFA	2	Montenegrina ochridensis callistoma Mcs-434-01	Montenegrina ochridensis callistoma HNHM 98954	I	3,0	5,0	2,0	4,0	1,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF118BFA	2	Montenegrina ochridensis callistoma Mcs-434-02	Montenegrina ochridensis callistoma HNHM 98954	I	3,0	5,0	2,0	4,0	1,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF118BFA	2	Montenegrina ochridensis callistoma Mcs-441-01	Montenegrina ochridensis callistoma HNHM 98977	I	3,0	5,0	2,0	4,0	1,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF118BFA	2	Montenegrina ochridensis callistoma Mcs-441-02	Montenegrina ochridensis callistoma HNHM 98977	I	3,0	4,0	2,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF118BFA	2	Montenegrina ochridensis callistoma Mcs-446-02	Montenegrina ochridensis callistoma HNHM 98986	I	3,0	4,0	2,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF118BFA	2	Montenegrina ochridensis callistoma Mcs-446	Montenegrina ochridensis callistoma HNHM 98986	I	3,0	4,0	2,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	1,0	2,0	
#FF118BFA	6	Montenegrina ochridensis ohridensis Moh-213-02	Montenegrina ochridensis ohridensis HNHM 36718/2	I	3,0	4,0	2,0	6,0	5,0	1,0	2,0	3,0	3,0	2,0	3,0	1,0	
#FF118BFA	6	Montenegrina ochridensis ohridensis Moh-213	Montenegrina ochridensis ohridensis HNHM 36718/2	I	3,0	4,0	2,0	6,0	5,0	1,0	2,0	3,0	3,0	2,0	3,0	1,0	
#FF118BFA	0	Montenegrina tenebrosa szekeri Moh-453-01	Montenegrina tenebrosa szekeri n. ssp. HNHM 99007 	I	3,0	2,0	1,0	3,0	2,0	2,0	2,0	3,0	3,0	2,0	3,0	1,0	
#FF118BFA	0	Montenegrina tenebrosa szekeri Moh-453	Montenegrina tenebrosa szekeri n. ssp. HNHM 99007 	I	3,0	2,0	1,0	3,0	2,0	2,0	2,0	3,0	3,0	2,0	3,0	1,0	
#FF118BFA	3	Montenegrina tenebrosa tenebrosa Mte-440-01	Montenegrina tenebrosa tenebrosa HNHM 98975 	I	3,0	7,0	1,0	3,0	2,0	2,0	2,0	3,0	2,0	2,0	2,0	1,0	
#FF118BFA	3	Montenegrina tenebrosa tenebrosa Mte-440	Montenegrina tenebrosa tenebrosa HNHM 98975 	I	3,0	7,0	1,0	3,0	2,0	2,0	2,0	3,0	2,0	2,0	2,0	1,0	
#FF47E3F9	1	Montenegrina minuscula Mmn-205-01	Montenegrina minuscula HNHM 94832	J	1,0	1,0	1,0	5,0	1,0	1,0	1,0	1,0	1,0	2,0	2,0	2,0	
#FF47E3F9	1	Montenegrina minuscula Mmn-205	Montenegrina minuscula HNHM 94832	J	1,0	1,0	1,0	5,0	1,0	1,0	1,0	1,0	1,0	2,0	2,0	2,0	
#FF47E3F9	1	Montenegrina minuscula Mmn-205	Montenegrina minuscula HNHM 94832	J	1,0	1,0	1,0	5,0	1,0	1,0	1,0	1,0	1,0	2,0	2,0	2,0	
#FFF23ED3	1	Montenegrina globocica Mdr-520-01	Montenegrina globocica n. sp. NHMW 110430/MN/0088 	K	1,0	2,0	1,0	6,0	3,0	1,0	2,0	3,0	1,0	2,0	3,0	2,0	
#FFF23ED3	1	Montenegrina globocica Mdr-520-02	Montenegrina globocica n. sp. NHMW 110430/MN/0088 	K	1,0	2,0	1,0	6,0	3,0	1,0	2,0	3,0	1,0	2,0	3,0	2,0	
#FFF23ED3	1	Montenegrina globocica Mdr-520	Montenegrina globocica n. sp. NHMW 110430/MN/0088 	K	1,0	2,0	1,0	6,0	3,0	1,0	2,0	3,0	1,0	2,0	3,0	2,0	
#FFF23ED3	22	Montenegrina gramica improvisa Mgm-457-01	Montenegrina gramica improvisa HNHM 99019	K	3,0	2,0	1,0	3,0	3,0	2,0	1,0	3,0	3,0	2,0	1,0	2,0	
#FFF23ED3	22	Montenegrina gramica improvisa Mgm-457	Montenegrina gramica improvisa HNHM 99019	K	3,0	2,0	1,0	3,0	3,0	2,0	1,0	3,0	3,0	2,0	1,0	2,0	
#FFF23ED3	24	Montenegrina radikae paparistoae M55-661-01	Montenegrina radikae paparistoae n. ssp. NHMW 1104300MN0261	K	3,0	2,0	4,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	3,0	2,0	
#FFF23ED3	24	Montenegrina radikae paparistoae M55-661	Montenegrina radikae paparistoae n. ssp. NHMW 1104300MN0261	K	3,0	2,0	4,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	3,0	2,0	
#FFF23ED3	24	Montenegrina radikae paparistoae M55-661	Montenegrina radikae paparistoae n. ssp. NHMW 1104300MN0261	K	3,0	2,0	4,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	3,0	2,0	
#FFF23ED3	25	Montenegrina radikae radikae Mra-100-01	Montenegrina radikae radikae HNHM 31107/7	K	3,0	4,0	1,0	6,0	3,0	2,0	2,0	3,0	3,0	2,0	3,0	1,0	
#FFF23ED3	25	Montenegrina radikae radikae Mra-100	Montenegrina radikae radikae HNHM 31107/7	K	3,0	4,0	1,0	6,0	3,0	2,0	2,0	3,0	3,0	2,0	3,0	1,0	
#FFF23ED3	23	Montenegrina tomorosi coerulescens Mce-664-05	Montenegrina tomorosi coerulescens NHMW 110430MN0264	K	1,0	1,0	2,0	1,0	1,0	2,0	2,0	3,0	3,0	3,0	2,0	3,0	
#FFF23ED3	23	Montenegrina tomorosi coerulescens Mce-664	Montenegrina tomorosi coerulescens NHMW 110430MN0264	K	1,0	1,0	2,0	1,0	1,0	2,0	2,0	3,0	3,0	3,0	2,0	3,0	
#FFF23ED3	8	Montenegrina tomorosi muranyii Mmu-226-02	Montenegrina tomorosi muranyii HNHM94847	K	1,0	5,0	1,0	6,0	3,0	2,0	1,0	3,0	2,0	3,0	2,0	2,0	
#FFF23ED3	8	Montenegrina tomorosi muranyii Mmu-226	Montenegrina tomorosi muranyii HNHM94847	K	1,0	5,0	1,0	6,0	3,0	2,0	1,0	3,0	2,0	3,0	2,0	2,0	
#FFF23ED3	5	Montenegrina tomorosi tomorosi Mto-648-01	Montenegrina tomorosi tomorosi HNHM 99724	K	1,0	2,0	2,0	2,0	1,0	2,0	2,0	3,0	3,0	3,0	1,0	2,0	
#FFF23ED3	5	Montenegrina tomorosi tomorosi Mto-648	Montenegrina tomorosi tomorosi HNHM 99724	K	1,0	2,0	2,0	2,0	1,0	2,0	2,0	3,0	3,0	3,0	1,0	2,0	
#FFB21DE8	1	Montenegrina drimmeri Mde-204-01	Montenegrina drimmeri HNHM94830	L	3	3,0	2,0	1,0	1,0	1,0	1,0	1,0	3,0	2,0	2,0	1,0	
#FFB21DE8	1	Montenegrina drimmeri Mde-204-02	Montenegrina drimmeri HNHM94830	L	3	3,0	2,0	1,0	1,0	1,0	1,0	1,0	3,0	2,0	2,0	1,0	
#FFB21DE8	22	Montenegrina iba Mib-463-01	Montenegrina iba HNHM 99036	L	2	2,0	3,0	1,0	3,0	4,0	3,0	2,0	3,0	3,0	3,0	1,0	
#FFB21DE8	22	Montenegrina iba Mib-463	Montenegrina iba HNHM 99036	L	2	2,0	3,0	1,0	3,0	4,0	3,0	2,0	3,0	3,0	3,0	1,0	
#FFB21DE8	24	Montenegrina laxa Mlx-461-01	Montenegrina laxa HNHM 99033	L	2	2,0	4,0	1,0	4,0	4,0	2,0	2,0	3,0	2,0	3,0	3,0	
#FFB21DE8	24	Montenegrina laxa Mlx-461	Montenegrina laxa HNHM 99033	L	2	2,0	4,0	1,0	4,0	4,0	2,0	2,0	3,0	2,0	3,0	3,0	
#FFB21DE8	24	Montenegrina laxa Mlx-461	Montenegrina laxa HNHM 99033	L	2	2,0	4,0	1,0	4,0	4,0	2,0	2,0	3,0	2,0	3,0	3,0	
#FFB21DE8	25	Montenegrina miraka dedovi Mdd-360-01	Montenegrina miraka dedovi DED-580	L	3	3,0	4,0	1,0	3,0	2,0	2,0	2,0	3,0	3,0	3,0	3,0	
#FFB21DE8	25	Montenegrina miraka dedovi Mdd-360	Montenegrina miraka dedovi DED-580	L	3	3,0	4,0	1,0	3,0	2,0	2,0	2,0	3,0	3,0	3,0	3,0	
#FFB21DE8	23	Montenegrina miraka delii Mel-633-01	Montenegrina miraka delii NHMW111235	L	2	2,0	3,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	3,0	3,0	
#FFB21DE8	23	Montenegrina miraka delii Mel-633	Montenegrina miraka delii NHMW111235	L	2	2,0	3,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	3,0	3,0	
#FFB21DE8	8	Montenegrina miraka disjuncta Mdj-451-01	Montenegrina miraka disjuncta HNHM 99000 	L	3	3,0	4,0	1,0	3,0	3,0	2,0	2,0	3,0	3,0	3,0	3,0	
#FFB21DE8	8	Montenegrina miraka disjuncta Mdj-451	Montenegrina miraka disjuncta HNHM 99000 	L	3	3,0	4,0	1,0	3,0	3,0	2,0	2,0	3,0	3,0	3,0	3,0	
#FFB21DE8	5	Montenegrina miraka errans Mer-431-01	Montenegrina miraka errans HNHM 98950	L	3	3,0	4,0	1,0	3,0	2,0	2,0	2,0	3,0	3,0	3,0	3,0	
#FFB21DE8	5	Montenegrina miraka errans Mer-431	Montenegrina miraka errans HNHM 98950	L	3	3,0	4,0	1,0	3,0	2,0	2,0	2,0	3,0	3,0	3,0	3,0	
#FFB21DE8	2	Montenegrina miraka kontschani Mko-314-01	Montenegrina miraka kontschani HNHM99634	L	2	2,0	3,0	1,0	3,0	2,0	2,0	1,0	3,0	1,0	3,0	1,0	
#FFB21DE8	2	Montenegrina miraka kontschani Mko-314	Montenegrina miraka kontschani HNHM99634	L	2	2,0	3,0	1,0	3,0	2,0	2,0	1,0	3,0	1,0	3,0	1,0	
#FFB21DE8	6	Montenegrina miraka miraka Mmr-436-01	Montenegrina miraka miraka HNHM94905	L	2	3,0	2,0	1,0	3,0	2,0	2,0	2,0	3,0	1,0	3,0	1,0	
#FFB21DE8	6	Montenegrina miraka miraka Mmr-436	Montenegrina miraka miraka HNHM94905	L	2	3,0	2,0	1,0	3,0	2,0	2,0	2,0	3,0	1,0	3,0	1,0	
#FFB21DE8	6	Montenegrina miraka miraka M54-650	Montenegrina miraka miraka HNHM99721	L	2	2,0	4,0	1,0	3,0	2,0	2,0	2,0	3,0	3,0	3,0	3,0	
#FFB21DE8	6	Montenegrina miraka miraka M54-650-01	Montenegrina miraka miraka HNHM99721	L	2	2,0	4,0	1,0	3,0	2,0	2,0	2,0	3,0	3,0	3,0	3,0	
#FFB21DE8	0	Montenegrina perstriata diminuta Mdm-533-01	Montenegrina perstriata diminuta NHMW110430MN0101	L	2	2,0	3,0	2,0	2,0	2,0	2,0	2,0	3,0	2,0	2,0	3,0	
#FFB21DE8	0	Montenegrina perstriata diminuta Mdm-533	Montenegrina perstriata diminuta NHMW110430MN0101	L	2	2,0	3,0	2,0	2,0	2,0	2,0	2,0	3,0	2,0	2,0	3,0	
#FFB21DE8	0	Montenegrina perstriata diminuta Mdm-533	Montenegrina perstriata diminuta NHMW110430MN0101	L	2	2,0	3,0	2,0	2,0	2,0	2,0	2,0	3,0	2,0	2,0	3,0	
#FFB21DE8	0	Montenegrina perstriata diminuta Mdm-533	Montenegrina perstriata diminuta NHMW110430MN0101	L	2	2,0	3,0	2,0	2,0	2,0	2,0	2,0	3,0	2,0	2,0	3,0	
#FFB21DE8	3	Montenegrina perstriata mavrovoensis Mmv-658-01	Montenegrina perstriata mavrovoensis NHMW 110430MN0148	L	2	2,0	3,0	4,0	3,0	3,0	2,0	2,0	3,0	2,0	2,0	2,0	
#FFB21DE8	3	Montenegrina perstriata mavrovoensis Mmv-658-03	Montenegrina perstriata mavrovoensis NHMW 110430MN0148	L	2	2,0	3,0	4,0	3,0	3,0	2,0	2,0	3,0	2,0	2,0	2,0	
#FFB21DE8	4	Montenegrina perstriata perstriata Mpe-512-01	Montenegrina perstriata perstriata NHMW110430MN0105	L	2	2,0	3,0	2,0	3,0	5,0	2,0	2,0	3,0	1,0	2,0	3,0	
#FFB21DE8	4	Montenegrina perstriata perstriata Mpe-512	Montenegrina perstriata perstriata NHMW110430MN0105	L	2	2,0	3,0	2,0	3,0	5,0	2,0	2,0	3,0	1,0	2,0	3,0	
#FFB21DE8	4	Montenegrina perstriata perstriata Mpe-512	Montenegrina perstriata perstriata NHMW110430MN0105	L	2	2,0	3,0	2,0	3,0	5,0	2,0	2,0	3,0	1,0	2,0	3,0	
#FFB21DE8	7	Montenegrina perstriata subcristatula Msl-514	Montenegrina perstriata subcristatula NHMW110430MN107	L	1	1,0	5,0	1,0	3,0	1,0	1,0	2,0	3,0	1,0	2,0	3,0	
#FFB21DE8	7	Montenegrina perstriata subcristatula Msl-514-01	Montenegrina perstriata subcristatula NHMW110430MN107	L	1	1,0	5,0	1,0	3,0	1,0	1,0	2,0	3,0	1,0	2,0	3,0	
#FFB21DE8	14	Montenegrina soosi soosi Mso-413-01	Montenegrina soosi soosi NHMW110430MN0115	L	2	2,0	6,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	2,0	
#FFB21DE8	14	Montenegrina soosi soosi Mso-413	Montenegrina soosi soosi NHMW110430MN0115	L	2	2,0	6,0	1,0	3,0	3,0	2,0	2,0	3,0	1,0	2,0	2,0	
