taxon_1	taxon_2	distance_KM	DNA	Morph
Mpi_508_01	Msi_553_01	29.6	0.095830528	0.55721146
Mpi_508_01	Msi_553_05	29.6	0.089151978	0.64283308
Mpi_508_01	Mst_510_01	17.3	0.035927834	0.69307952
Mpi_508_03	Mpr_404_03	21.7	0.09255216	0.67519165
Mpi_508_03	Msi_553_01	29.6	0.095830528	0.40937338
Mpi_508_03	Msi_553_05	29.6	0.089151978	0.49338773
Mpi_508_03	Mst_510_01	17.3	0.035927834	0.68728576
Mpr_404_03	Msi_553_01	8.4	0.013867348	0.69367254
Mpr_404_03	Msi_553_05	8.4	0.003062834	0.72766784
Mpr_404_03	Mst_510_01	32.4	0.099175751	0.59458449
Mrl_381_01	Mdo_537_01	146.5	0.123065257	0.59563818
Mrl_381_01	Mfa_507_01	148.4	0.144765093	0.97631511
Mrl_381_01	Mks_401_01	98.4	0.099448297	0.6904143
Mrl_381_01	Mro_554_01	111.4	0.098442087	0.93074977
Mrl_381_01	Mpi_508_01	145	0.118927446	0.65586578
Mrl_381_01	Mpi_508_03	145	0.118927446	0.62168911
Mrl_381_01	Mpr_404_03	133.4	0.108457877	0.75120219
Mrl_381_01	Msi_553_01	126	0.103381444	0.66645314
Mrl_381_01	Msi_553_05	126	0.114912823	0.74140157
Mrl_381_01	Mst_510_01	160	0.104933827	0.84937626
Mro_554_01	Mpi_508_01	48	0.07905316	0.74638468
Mro_554_01	Mpi_508_03	48	0.07905316	0.6476832
Mro_554_01	Mpr_404_03	27.4	0.07021665	0.47605752
Mro_554_01	Msi_553_01	19.5	0.065810775	0.78877011
Mro_554_01	Msi_553_05	19.5	0.066912899	0.82486297
Mro_554_01	Mst_510_01	61	0.068311621	0.57711619
Msi_553_01	Msi_553_05	0	0.010768453	0.094685168
Msi_553_01	Mst_510_01	41.9	0.105446752	0.98173345
Msi_553_05	Mst_510_01	41.9	0.095759867	1.0528738
Mwe_350_01	Mpa_392_01	22.2	0.1230917	0.96052423
Mwe_350_01	Mir_376_01	85.8	0.121861906	0.48222715
Mwe_350_01	Mrl_381_01	70.3	0.102685619	0.5962424
