Color	Shape	ID	c1	Subclade	SH	W	SMW	BWH	AH	AW	OA	LA	PC	PCRL	P	PRL	E	ERL	V	VRL	FO	FORL	DBC	DBCRL	D	DRL	BC	BCRL	atrium_type_simplified	penis_types_simplified	epiphallus_type_simplified	penial_papilla_type_simplified	distal_vagina_type_simplified	proximal_vagina_type_simplified	1 neck_inflection	4 peristome_position	 5 lam_superior_vs_ spiralis 	7 lam_sub_ bending 	8 lunella_position 	9 plica_basalis	
#FF118BFA	Triangle	Montenegrina ochridensis callistoma HNHM 98986	Montenegrina ochridensis callistoma HNHM 98986	I	18.0	10.4	5.8	6.4	4.3	3.9	71.3	93.2	5.2	28.9	2.3	12.8	2.8	15.6	2.3	12.8	0.8	4.4	0.7	3.9	2.7	15.0	4.6	25.6	3.0	4.0	2.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	
#FF118BFA	Triangle	Montenegrina ochridensis callistoma HNHM 98986	Montenegrina ochridensis callistoma HNHM 98986	I	17.9	10.1	5.5	6.2	4.1	3.7	72.1	92.1	5.1	29.5	2.2	12.7	2.9	16.8	2.1	12.1	0.8	4.6	0.6	3.5	2.7	15.6	4.5	26.0	3.0	4.0	2.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	
#FF118BFA	Inv. triang	Montenegrina ochridensis ohridensis HNHM 36718/2	Montenegrina ochridensis ohridensis HNHM 36718/2	I	15	11.4	4.9	6.2	3.9	3.8	69.2	91.9	6.8	46.6	4.0	27.4	2.8	19.2	4.5	30.8	0.6	4.1	0.1	0.7	1.5	10.3	1.7	11.6	3.0	4.0	2.0	6.0	5.0	1.0	2.0	3.0	3.0	2.0	3.0	1.0	
#FF118BFA	Inv. triang	Montenegrina ochridensis ohridensis HNHM 36718/2	Montenegrina ochridensis ohridensis HNHM 36718/2	I	14.6	11.3	4.8	6.3	3.7	3.5	69.3	92.2	6.9	47.3	3.9	26.7	2.7	18.5	4.5	30.8	0.8	5.5	0.2	1.4	1.4	9.6	1.6	11.0	3.0	4.0	2.0	6.0	5.0	1.0	2.0	3.0	3.0	2.0	3.0	1.0	
#FF118BFA	O	Montenegrina tenebrosa szekeri n. ssp. HNHM 99007 	Montenegrina tenebrosa szekeri n. ssp. HNHM 99007 	I	17.4	10.2	4.2	4.7	3.6	3.4	68.2	83.2	4.3	24.7	1.0	5.7	3.3	19.0	2.0	11.5	1.2	6.9	0.5	2.9	1.6	9.2	2.1	12.1	3.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	1.0	
#FF118BFA	O	Montenegrina tenebrosa szekeri n. ssp. HNHM 99007 	Montenegrina tenebrosa szekeri n. ssp. HNHM 99007 	I	17.6	10.0	4.3	4.8	3.6	3.5	67.0	82.0	4.4	25.0	1.0	5.7	3.3	18.8	1.8	10.2	1.3	7.4	0.6	3.4	1.4	8.0	2.0	11.4	3.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	1.0	
#FF118BFA	Oval	Montenegrina tenebrosa tenebrosa HNHM 98975 	Montenegrina tenebrosa tenebrosa HNHM 98975 	I	20.6	11.2	6.0	5.6	4.2	3.7	68.6	84.1	7.4	35.7	3.2	15.5	4.2	20.3	4.1	19.8	1.9	9.2	0.9	4.3	3.1	15.0	2.6	12.6	3.0	7.0	1.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	
#FF118BFA	Oval	Montenegrina tenebrosa tenebrosa HNHM 98975 	Montenegrina tenebrosa tenebrosa HNHM 98975 	I	21	11.4	6.2	5.8	4.5	4	68.2	84	7.4	35.9	3.0	14.6	4.3	20.9	4.3	20.9	2.0	9.7	0.9	4.4	3.0	14.6	2.7	13.1	3.0	7.0	1.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	
#FF47E3F9	Dot	Montenegrina minuscula HNHM 94832	Montenegrina minuscula HNHM 94832	J	10.1	8.4	3.4	3.3	2.1	1.9	74.6	69.9	2.4	23.8	0.8	7.9	1.6	15.8	3.2	31.7	0.4	4.0	0.5	5.0	1.3	12.9	1.7	16.8	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	
#FF47E3F9	Dot	Montenegrina minuscula HNHM 94832	Montenegrina minuscula HNHM 94832	J	10	8.4	3.3	3.2	2	1.8	74	69.5	2.5	24.8	0.9	8.9	1.5	14.9	3.3	32.7	0.4	4.0	0.6	5.9	1.3	12.9	1.6	15.8	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	
#FF47E3F9	Dot	Montenegrina minuscula HNHM 94832	Montenegrina minuscula HNHM 94832	J	9.9	8.3	3.2	3.2	1.9	1.9	74.2	69.2	2.4	24.2	0.7	7.1	1.6	16.2	3.9	39.4	0.4	4.0	0.7	7.1	1.4	14.1	1.6	16.2	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	
#FFF23ED3	Dot	Montenegrina globocica n. sp. NHMW 110430/MN/0088 	Montenegrina globocica n. sp. NHMW 110430/MN/0088 	K	20.8	11.2	6.7	7.0	5.1	4.9	61.4	68.3	5.4	26.0	2.2	10.6	3.2	15.4	2.7	13.0	1.2	5.8	0.4	1.9	2.3	11.1	2.0	9.6	1.0	2.0	1.0	6.0	3.0	1.0	2.0	3.0	1.0	2.0	3.0	2.0	
#FFF23ED3	Dot	Montenegrina globocica n. sp. NHMW 110430/MN/0088 	Montenegrina globocica n. sp. NHMW 110430/MN/0088 	K	21.0	11.0	6.6	7.1	5.2	5.0	62.1	68.2	5.5	26.2	2.0	9.5	3.5	16.7	2.5	11.9	1.3	6.2	0.5	2.4	2.3	11.0	1.9	9.0	1.0	2.0	1.0	6.0	3.0	1.0	2.0	3.0	1.0	2.0	3.0	2.0	
#FFF23ED3	Dot	Montenegrina globocica n. sp. NHMW 110430/MN/0088 	Montenegrina globocica n. sp. NHMW 110430/MN/0088 	K	20.8	11.0	6.7	7.0	5.1	5.0	61.7	63.1	5.5	26.4	2.1	10.1	3.4	16.3	2.7	13.0	1.3	6.3	0.5	2.4	2.6	12.5	2.2	10.6	1.0	2.0	1.0	6.0	3.0	1.0	2.0	3.0	1.0	2.0	3.0	2.0	
#FFF23ED3	Fill square	Montenegrina gramica improvisa HNHM 99019	Montenegrina gramica improvisa HNHM 99019	K	14.1	10.0	3.2	4.9	3.4	2.6	68.2	77.3	8.9	63.1	3.0	21.3	5.9	41.8	4.1	29.1	1.4	9.9	1.0	7.1	3.0	21.3	2.4	17.0	3.0	2.0	1.0	3.0	3.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	
#FFF23ED3	Fill square	Montenegrina gramica improvisa	Montenegrina gramica improvisa HNHM 99019	K	14.3	10.2	3.5	5.1	3.6	2.8	68	77	8.9	63.1	3.1	21.1	6	40.9	4.2	28.9	1.4	9.6	1	6.9	3.1	21	2	16.8	3.0	2.0	1.0	3.0	3.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	
#FFF23ED3	Fill triang	Montenegrina radikae paparistoae n. ssp. NHMW 1104300MN0261	Montenegrina radikae paparistoae n. ssp. NHMW 1104300MN0261	K	19.2	10.0	3.1	4.1	3.0	2.9	70.2	63.8	3.6	18.8	1.2	6.3	2.4	12.5	2.2	11.5	1.1	5.7	0.5	2.6	2.2	11.5	1.8	9.4	3.0	2.0	4.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	3.0	2.0	
#FFF23ED3	Fill triang	Montenegrina radikae paparistoae n. ssp. NHMW 1104300MN0261	Montenegrina radikae paparistoae n. ssp. NHMW 1104300MN0261	K	19.6	9.8	3.5	4.2	3.1	3	70	63	3.5	17.7	1.2	6.1	2.5	12.6	2.0	10.1	0.9	4.5	0.4	2.0	2.2	11.1	1.9	9.6	3.0	2.0	4.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	3.0	2.0	
#FFF23ED3	Fill triang	Montenegrina radikae paparistoae n. ssp. NHMW 1104300MN0261	Montenegrina radikae paparistoae n. ssp. NHMW 1104300MN0261	K	19.5	10.1	3.5	4.3	3.2	3	69.9	63.2	3.5	17.9	1.1	5.6	2.6	13.3	1.9	9.7	1.0	5.1	0.4	2.0	2.1	10.7	1.8	9.2	3.0	2.0	4.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	3.0	2.0	
#FFF23ED3	Fill inv. tri	Montenegrina radikae radikae HNHM 31107/7	Montenegrina radikae radikae HNHM 31107/7	K	22.1	11.0	4.2	4.7	3.2	2.9	71.7	81.6	6.3	28.5	3.0	13.6	3.3	14.9	2.3	10.4	1.4	6.3	0.5	2.3	4.5	20.4	5.5	24.9	3.0	4.0	1.0	6.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	1.0	
#FFF23ED3	Fill inv. tri	Montenegrina radikae radikae HNHM 31107/7	Montenegrina radikae radikae HNHM 31107/7	K	22.5	11.2	4.4	4.9	3.5	2.9	71.5	81.2	6.2	28.2	3.1	14.1	3.4	15.5	1.9	8.6	1.3	5.9	0.6	2.7	4.5	20.5	5.3	24.1	3.0	4.0	1.0	6.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	1.0	
#FFF23ED3	Fill diamond	Montenegrina tomorosi coerulescens NHMW 110430MN0264	Montenegrina tomorosi coerulescens NHMW 110430MN0264	K	14.4	10.0	3.4	4.7	3.1	2.8	66.6	65.6	4.3	29.9	1.9	13.2	2.4	16.7	1.5	10.4	1.1	7.6	0.4	2.8	1.8	12.5	1.7	11.8	1.0	1.0	2.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	
#FFF23ED3	Fill diamond	Montenegrina tomorosi coerulescens NHMW 110430MN0264	Montenegrina tomorosi coerulescens NHMW 110430MN0264	K	14	9.8	3.3	4.5	3	2.7	66.2	66.1	4.2	29.8	2.0	14.2	2.6	18.4	1.6	11.3	1.1	7.8	0.4	2.8	1.8	12.8	1.6	11.3	1.0	1.0	2.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	
#FFF23ED3	Star	Montenegrina tomorosi muranyii HNHM94847	Montenegrina tomorosi muranyii HNHM94847	K	12.0	8.2	3.9	5.1	3.4	2.8	76.4	61.8	3.1	25.8	1.5	12.5	1.6	13.3	0.7	5.8	0.9	7.5	0.5	4.2	1.2	10.0	1.8	15.0	1.0	5.0	1.0	6.0	3.0	2.0	1.0	3.0	2.0	3.0	2.0	2.0	
#FFF23ED3	Star	Montenegrina tomorosi muranyii HNHM94847	Montenegrina tomorosi muranyii HNHM94847	K	11.9	8	3.6	5	3.1	2.5	77	62.3	3.0	24.8	1.5	12.4	1.5	12.4	0.8	6.6	1.0	8.3	0.4	3.3	1.1	9.1	1.9	15.7	1.0	5.0	1.0	6.0	3.0	2.0	1.0	3.0	2.0	3.0	2.0	2.0	
#FFF23ED3	Diamond	Montenegrina tomorosi tomorosi HNHM 99724	Montenegrina tomorosi tomorosi HNHM 99724	K	16.1	10.2	4.2	5.9	3.9	3.0	72.1	78.6	4.3	26.7	2.4	14.9	1.9	11.8	1.7	10.6	0.7	4.3	0.7	4.3	2.0	12.4	2.3	14.3	1.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	3.0	3.0	1.0	2.0	
#FFF23ED3	Diamond	Montenegrina tomorosi tomorosi HNHM 99724	Montenegrina tomorosi tomorosi HNHM 99724	K	15.7	10	4	5.2	3.5	2.8	72.9	79.2	4.3	26.4	2.3	14.1	2.7	16.6	1.4	8.6	0.6	3.7	0.7	4.3	2.2	13.5	2.4	14.7	1.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	3.0	3.0	1.0	2.0	
#FFB21DE8	Dot	Montenegrina drimmeri HNHM94830	Montenegrina drimmeri HNHM94830	L	13.2	8.5	4.8	5.8	3.6	3.4	76.1	86.7	5.6	42.4	1.5	2.0	1.5	11.4	4.2	31.8	3.4	25.8	1.6	12.1	1.2	9.1	3.9	29.5	3	3.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	1.0	
#FFB21DE8	Dot	Montenegrina drimmeri HNHM94830	Montenegrina drimmeri HNHM94830	L	13.6	9.0	5.1	5.9	3.8	3.5	76.0	85.2	5.6	41.2	1.4	1.9	1.4	10.3	4.2	30.9	3.3	24.3	1.5	11.0	1.3	9.6	3.8	27.9	3	3.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	1.0	
#FFB21DE8	Fill square	Montenegrina iba HNHM 99036	Montenegrina iba HNHM 99036	L	17.3	10.0	4.2	6.9	4.0	3.8	76.2	78.1	4.6	26.9	1.8	2.0	1.8	10.5	2.8	16.4	1.8	10.5	1.1	6.4	1.4	8.2	1.7	9.9	2	2.0	3.0	1.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	1.0	
#FFB21DE8	Fill square	Montenegrina iba HNHM 99036	Montenegrina iba HNHM 99036	L	17.8	10.3	4.6	7.5	4.3	4.2	76.3	79	4.6	26.6	1.9	2.2	1.9	11.0	3.0	17.3	2.0	11.6	1.1	6.4	1.3	7.5	1.8	10.4	2	2.0	3.0	1.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	1.0	
#FFB21DE8	Fill triang	Montenegrina laxa HNHM 99033	Montenegrina laxa HNHM 99033	L	20.3	11.6	5.2	7.1	5.8	4.9	79.5	96.0	8.5	41.9	4.0	2.8	4.0	19.7	4.5	22.2	1.9	9.4	1.0	4.9	1.0	4.9	2.7	13.3	2	2.0	4.0	1.0	4.0	4.0	2.0	2.0	3.0	2.0	3.0	3.0	
#FFB21DE8	Fill triang	Montenegrina laxa HNHM 99033	Montenegrina laxa HNHM 99033	L	20	11.5	5	6.8	5.6	5.3	80.2	95.2	8.5	42.7	4.2	2.8	4.2	21.1	4.4	22.1	1.9	9.5	0.9	4.5	1.1	5.5	2.7	13.6	2	2.0	4.0	1.0	4.0	4.0	2.0	2.0	3.0	2.0	3.0	3.0	
#FFB21DE8	Fill triang	Montenegrina laxa HNHM 99033	Montenegrina laxa HNHM 99033	L	20.9	11.9	5.4	7.2	6	5.5	79.6	95	8.6	43.4	4.0	2.8	4.0	20.2	4.5	22.7	1.8	9.1	1.0	5.1	1.2	6.1	2.6	13.1	2	2.0	4.0	1.0	4.0	4.0	2.0	2.0	3.0	2.0	3.0	3.0	
#FFB21DE8	Fill inv. tri	Montenegrina miraka dedovi DED-580	Montenegrina miraka dedovi DED-580	L	16.2	10.1	3.3	4.3	2.8	2.2	71.3	70.7	4.8	29.6	2.5	2.2	2.5	15.4	2.3	14.2	1.3	8.0	1.4	8.6	0.6	3.7	2.3	14.2	3	3.0	4.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	
#FFB21DE8	Fill inv. tri	Montenegrina miraka dedovi DED-580	Montenegrina miraka dedovi DED-580	L	16.9	10.2	3.5	4.4	2.9	2.4	71.6	71.2	4.0	24.8	2.6	2.1	2.6	16.1	2.3	14.3	1.4	8.7	1.3	8.1	0.4	2.5	2.2	13.7	3	3.0	4.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	
